,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,bioguide_id,ballotpedia_id,govtrack_id,party_simple,key,ballotpedia,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
2315,H2TX31150,"HILDNER, JONATHAN DAVID MR.",TX,31,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,jonathan  hildner,,,,,,
2316,H2FL04195,"HILL, ANTHONY TONY",FL,4,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,anthony  hill,https://ballotpedia.org/Anthony_Hill_(Florida),,,,,
2317,H2DE01039,"HILL, CHRISTOPHER BROOKS MR.",DE,0,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,christopher  hill,,,,,,
2318,H2MO03175,"HILL, DUSTIN ANTHONY",MO,3,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,dustin  hill,https://ballotpedia.org/Dustin_Hill,,,,,
2319,H4AR02141,"HILL, JAMES FRENCH",AR,2,REPUBLICAN PARTY,House,Incumbent,N,H001072,French Hill,412609.0,Republican,james  hill,,electfrench,1740229652,,,
2320,H4AR02141,"HILL, JAMES FRENCH",AR,2,REPUBLICAN PARTY,House,Incumbent,N,H001072,French Hill,412609.0,Republican,james  hill,,repfrenchhill,2953974395,,,
2322,H2SC04170,"HILL, KEN",SC,4,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,ken  hill,https://ballotpedia.org/Ken_Hill_(South_Carolina),,,,,
2323,H2WA05105,"HILL, NATASHA",WA,5,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,natasha  hill,https://ballotpedia.org/Natasha_Hill,votenatashahill,1439690167644672000,,,
2325,H2CA25234,"HILL, STEVE",CA,25,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,steve  hill,,,,,,
2326,H2TX05246,"HILL, TARTISHA A MRS.",TX,5,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,tartisha  hill,https://ballotpedia.org/Tartisha_Hill,tartishahill,1471594836423761922,,,
2327,H2TX05246,"HILL, TARTISHA A MRS.",TX,5,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,tartisha  hill,https://ballotpedia.org/Tartisha_Hill,tartishah,341165983,,,
2329,H2TX30152,"HILL, VONCIEL JONES",TX,30,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,vonciel  hill,,,,,,
2330,H8MI04101,"HILLIARD, JEROME C",MI,2,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,jerome  hilliard,https://ballotpedia.org/Jerry_Hilliard,,,,,
2332,H8CT04172,"HIMES, JIM",CT,4,DEMOCRATIC PARTY,House,Incumbent,C,H001047,Jim Himes,412282.0,Democrat,jim  himes,https://ballotpedia.org/Jim_Himes,jahimes,31611298,,,
2334,H2NC05157,"HINES, ROBERT NICHOLAS",NC,13,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,robert  hines,https://ballotpedia.org/Bo_Hines,bohines,523276626,,,
2335,H2NJ02235,"HITCHNER, SCOTT JR",NJ,2,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,scott  hitchner,,,,,,
2336,H2FL09178,"HITES, BECKY E",FL,9,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,becky  hites,,,,,,
2337,H2MI05168,"HOBSON, ETHAN C MR.",MI,5,U.S. TAXPAYERS PARTY,House,Challenger,N,,,,Other,ethan  hobson,,,,,,
2338,H2AZ06221,"HODGE, JEVIN D",AZ,1,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,jevin  hodge,https://ballotpedia.org/Jevin_Hodge,jevinhodge,825766521511088128,,,
2340,H2AR01113,"HODGES, MONTE",AR,1,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,monte  hodges,https://ballotpedia.org/Monte_Hodges,hodgesmonte1,841755599268392962,No tweets found.,,
2341,H2AR01113,"HODGES, MONTE",AR,1,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,monte  hodges,https://ballotpedia.org/Monte_Hodges,monteforar,1478463836525146122,,,
2343,H2PA03160,"HOEPPNER, CHRISTOPHER",PA,3,OTHER,House,Challenger,N,,,,Other,christopher  hoeppner,,,,,,
2344,H6WI08171,"HOFFMAN, RALPH",WI,8,WRITE-IN,House,Challenger,N,,,,Other,ralph  hoffman,,,,,,
2345,H0MD05241,"HOFFMAN, VANESSA",MD,5,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,vanessa  hoffman,https://ballotpedia.org/Vanessa_Marie_Hoffman,,,,,
2346,H2TX38072,"HOGAN, LEMUEL DAVID",TX,38,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,lemuel  hogan,,,,,,
2348,H2LA03121,"HOGGATT, ""HOLDEN""",LA,3,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,holden  hoggatt,https://ballotpedia.org/Holden_Hoggatt,holden_hoggatt,1499765057844092939,,,
2349,H2LA03121,"HOGGATT, ""HOLDEN""",LA,3,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,holden  hoggatt,https://ballotpedia.org/Holden_Hoggatt,holdenhoggatt,1025765747006627841,,,
2351,H0KS03269,"HOHE, STEVEN",KS,3,LIBERTARIAN PARTY,House,Challenger,N,,,,Other,steven  hohe,https://ballotpedia.org/Steve_Hohe,stevehoheks,,No tweets found.,Name not found.,
2352,H2TX28131,"HOHMAN, ERIC",TX,28,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,eric  hohman,https://ballotpedia.org/Eric_Hohman,,,,,
2354,H2NY24127,"HOLDEN, STEVEN WESLEY SR.",NY,24,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,steven  holden,https://ballotpedia.org/Steven_Holden,believein_steve,,No tweets found.,Name not found.,
2355,H4IA03149,"HOLDER, BRYAN JACK",IA,4,OTHER,House,Challenger,N,,,,Other,bryan  holder,https://ballotpedia.org/Bryan_Holder,,,,,
2356,H2NC13110,"HOLDING, GEORGE E MR.",NC,2,REPUBLICAN PARTY,House,,N,H001065,George E.B. Holding,412553.0,Republican,george  holding,,,,,,
2358,H2FL10291,"HOLIC, JASON KYLE",FL,10,NONE,House,Open seat,C,,,,Other,jason  holic,https://ballotpedia.org/Jason_Holic,holiccongress,1378192311151165441,,,
2359,H2FL10291,"HOLIC, JASON KYLE",FL,10,NONE,House,Open seat,C,,,,Other,jason  holic,https://ballotpedia.org/Jason_Holic,jholic,20217655,,,
2360,H6IN06024,"HOLLAND, GEORGE THOMAS",IN,6,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,george  holland,https://ballotpedia.org/George_Holland,,,,,
2361,H2MI13246,"HOLLIER, ADAM",MI,13,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,adam  hollier,https://ballotpedia.org/Adam_Hollier,adamant4detroit,255596322,,,
2363,H6IN09176,"HOLLINGSWORTH, TREY",IN,9,REPUBLICAN PARTY,House,Incumbent,P,H001074,Trey Hollingsworth,412703.0,Republican,trey  hollingsworth,,,,,,
2365,H2PA11114,"HOLLISTER, ROBERT MICHAEL III",PA,11,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,robert  hollister,https://ballotpedia.org/Bob_Hollister,hollister4pa,1490722763912495107,,,
2367,H6FL05193,"HOLLOWAY, LASHONDA J",FL,4,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,lashonda  holloway,https://ballotpedia.org/L.J._Holloway,ljholloway,24810622,,,
2368,H6FL05193,"HOLLOWAY, LASHONDA J",FL,4,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,lashonda  holloway,https://ballotpedia.org/L.J._Holloway,lj4congress,3926697793,,,
2369,H2CA53020,"HOLMAN LEAK, BARRETT",CA,51,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,barrett  leak,https://ballotpedia.org/Barrett_Holman_Leak,holmanleak,1375703742843002881,,,
2371,H2MI78017,"HOLMES, FRANK MR",MI,78,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,,,,Other,frank  holmes,,,,,,
2372,H2MD04240,"HOLMES, GREGORY",MD,4,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,gregory  holmes,https://ballotpedia.org/Greg_Holmes,,,,,
2373,H2AZ08169,"HOLMES, JAMES THOMAS",AZ,8,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,james  holmes,,,,,,
2375,H2FL20159,"HOLNESS, DALE V.C. MR.",FL,20,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,dale  holness,https://ballotpedia.org/Dale_Holness,holnessd9,2174716578,,,
2377,H2NY10316,"HOLTZMAN, ELIZABETH",NY,10,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,elizabeth  holtzman,https://ballotpedia.org/Elizabeth_Holtzman,repholtzman,1349475300317536259,,,
2379,H2FL22205,"HOLZHAUER, HAVA",FL,23,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,hava  holzhauer,https://ballotpedia.org/Hava_Holzhauer,havaholzhauer,3960266392,No tweets found.,,
2381,H2NC11247,"HONEYCUTT, RODNEY HOMER",NC,11,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,rodney  honeycutt,https://ballotpedia.org/Rod_Honeycutt_(North_Carolina),cuttforcongress,,No tweets found.,Name not found.,
2382,H2TN04274,"HOOD, GERALD W. MR III",TN,4,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,gerald  hood,,,,,,
2383,H2MS04290,"HOOK, LOUIS CHARLES DR.",MS,4,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,louis  hook,,,,,,
2384,H2MI12198,"HOOPER, JAMES D",MI,12,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,james  hooper,https://ballotpedia.org/James_Hooper,weramericans1st,1541934361188212742,,,
2386,H2TN07210,"HOOPER, STEVEN J.",TN,7,INDEPENDENT,House,Challenger,N,,,,Other,steven  hooper,,,,,,
2387,H0OK02244,"HOPKINS, RHONDA",OK,2,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,rhonda  hopkins,https://ballotpedia.org/Rhonda_Hopkins,,,,,
2388,H2OR04178,"HOPPE, GARRETT",OR,4,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,garrett  hoppe,,,,,,
2389,H2IL16149,"HORGES, BRADLEY LAMAR MR. JR.",IL,16,WRITE-IN,House,Open seat,N,,,,Other,bradley  horges,,,,,,
2390,H2IN08185,"HORNING, ANDREW",IN,8,LIBERTARIAN PARTY,House,Challenger,N,,,,Other,andrew  horning,https://ballotpedia.org/Andy_Horning,horningcongress,,No tweets found.,Name not found.,
2393,H2IN07088,"HORNING, ANDREW M.",IN,8,LIBERTARIAN PARTY,House,Challenger,N,,,,Other,andrew  horning,https://ballotpedia.org/Andy_Horning,horningcongress,,No tweets found.,Name not found.,
2394,H2NV04011,"HORSFORD, STEVEN ALEXZANDER",NV,4,DEMOCRATIC PARTY,House,Incumbent,C,H001066,Steven Horsford,412559.0,Democrat,steven  horsford,https://ballotpedia.org/Steven_Horsford,rephorsford,389840566,,,
2395,H2NV04011,"HORSFORD, STEVEN ALEXZANDER",NV,4,DEMOCRATIC PARTY,House,Incumbent,C,H001066,Steven Horsford,412559.0,Democrat,steven  horsford,https://ballotpedia.org/Steven_Horsford,stevenhorsford,246478393,,,
2396,H2CA52147,"HOSANNA, JUDAH",CA,52,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,judah  hosanna,,,,,,
2397,H2FL13238,"HOTCHKISS, CHRISTIAN DAVID",FL,13,DEMOCRATIC PARTY,House,Open seat,N,,,,Democrat,christian  hotchkiss,,,,,,
2398,H6IN09143,"HOUCHIN, ERIN",IN,9,REPUBLICAN PARTY,House,Incumbent,C,H001093,,456903.0,Republican,erin  houchin,https://ballotpedia.org/Erin_Houchin,rephouchin,1603694348725526528,,,
2399,H6IN09143,"HOUCHIN, ERIN",IN,9,REPUBLICAN PARTY,House,Incumbent,C,H001093,,456903.0,Republican,erin  houchin,https://ballotpedia.org/Erin_Houchin,erin_houchin,2327983291,,,
2401,H8PA06087,"HOULAHAN, CHRISSY",PA,6,DEMOCRATIC PARTY,House,Incumbent,C,H001085,Chrissy Houlahan,412810.0,Democrat,chrissy  houlahan,https://ballotpedia.org/Chrissy_Houlahan,houlahanforpa,847098017274613761,,,
2403,H8PA06087,"HOULAHAN, CHRISSY",PA,6,DEMOCRATIC PARTY,House,Incumbent,C,H001085,Chrissy Houlahan,412810.0,Democrat,chrissy  houlahan,https://ballotpedia.org/Chrissy_Houlahan,rephoulahan,1052896620797460481,,,
2404,H2CA50174,"HOULAHAN, STEPHEN WILLIAM",CA,48,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,stephen  houlahan,https://ballotpedia.org/Stephen_Houlahan,electhoulahan,1352703942107381760,,,
2405,H2CA50174,"HOULAHAN, STEPHEN WILLIAM",CA,48,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,stephen  houlahan,https://ballotpedia.org/Stephen_Houlahan,stevehoulahanrn,28732069,,,
2407,H2WV01144,"HOUSER, JAMES EDWIN",WV,1,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,james  houser,https://ballotpedia.org/James_Houser,,,,,
2408,H2TX22159,"HOWARD, EUGENE",TX,22,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,eugene  howard,,,,,,
2409,H8OR04084,"HOWARD, JAMES MILO",OR,4,CONSTITUTION PARTY,House,Open seat,N,,,,Other,james  howard,https://ballotpedia.org/Jim_Howard_(Oregon),,,,,
2410,H2GA09242,"HOWARD, JON GREGORY",GA,9,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,jon  howard,https://ballotpedia.org/J._Gregory_Howard,,,,,
2411,H2MO06244,"HOWARD, MICHAEL",MO,6,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,michael  howard,,,,,,
2412,H2SD01041,"HOWARD, TAFFY",SD,0,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,taffy  howard,https://ballotpedia.org/Taffy_Howard,taffy_howard,1481671068611977217,,,
2414,H2AK00366,"HOWE, JOHN WAYNE",AK,0,OTHER,House,Open seat,N,,,,Other,john  howe,https://ballotpedia.org/John_Howe_(Alaska),,,,,
2415,H2NY14102,"HOWE, JONATHAN MR.",NY,14,LIBERTARIAN PARTY,House,Challenger,N,,,,Other,jonathan  howe,,,,,,
2416,H2MD05155,"HOYER, STENY",MD,5,DEMOCRATIC PARTY,House,Incumbent,C,H000874,Steny Hoyer,400189.0,Democrat,steny  hoyer,https://ballotpedia.org/Steny_Hoyer,stenyhoyer,266719387,,,
2417,H2MD05155,"HOYER, STENY",MD,5,DEMOCRATIC PARTY,House,Incumbent,C,H000874,Steny Hoyer,400189.0,Democrat,steny  hoyer,https://ballotpedia.org/Steny_Hoyer,repstenyhoyer,22012091,,,
2418,H2MD05155,"HOYER, STENY",MD,5,DEMOCRATIC PARTY,House,Incumbent,C,H000874,Steny Hoyer,400189.0,Democrat,steny  hoyer,https://ballotpedia.org/Steny_Hoyer,leaderhoyer,,No tweets found.,Name not found.,
2419,H2OR04095,"HOYLE, VALERIE",OR,4,DEMOCRATIC PARTY,House,Incumbent,C,H001094,,456932.0,Democrat,valerie  hoyle,https://ballotpedia.org/Val_Hoyle,valhoyle,118612783,,,
2420,H2OR04095,"HOYLE, VALERIE",OR,4,DEMOCRATIC PARTY,House,Incumbent,C,H001094,,456932.0,Democrat,valerie  hoyle,https://ballotpedia.org/Val_Hoyle,repvalhoyle,1612865196489412608,,,
2421,H2NY10233,"HOYLMAN, BRAD",NY,10,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,brad  hoylman,,,,,,
2422,H2CT01205,"HREZI, MUAD",CT,1,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,muad  hrezi,,,,,,
2423,H8VA02087,"HUBBARD, GARRY",VA,2,GREEN PARTY,House,Challenger,N,,,,Other,garry  hubbard,,,,,,
2424,H2CA22165,"HUBBARD, LOURIN",CA,22,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,lourin  hubbard,https://ballotpedia.org/Lourin_Hubbard,lourinhubbard,1357061886286602240,,,
2426,H2IN02337,"HUBBARD, MIKE",IN,2,WRITE-IN,House,Challenger,N,,,,Other,mike  hubbard,,,,,,
2427,H2TN43017,"HUBBARD, STEVEN ERICH MR.",TN,4,INDEPENDENT,House,Challenger,N,,,,Other,steven  hubbard,,,,,,
2428,H4OR02228,"HUBER, RAIPH R",OR,2,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,raiph  huber,,,,,,
2429,H2TX18181,"HUCKABEE, SCOTT",TX,36,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,scott  huckabee,,,,,,
2430,H2MS04241,"HUDSON, JESSE GRAHAM",MS,4,INDEPENDENT,House,Challenger,N,,,,Other,jesse  hudson,,,,,,
2431,H2NC08185,"HUDSON, RICHARD L. JR.",NC,9,REPUBLICAN PARTY,House,Incumbent,C,H001067,Richard Hudson,412550.0,Republican,richard  hudson,https://ballotpedia.org/Richard_Hudson,rephudsonnc,16874915,,,
2432,H2NC08185,"HUDSON, RICHARD L. JR.",NC,9,REPUBLICAN PARTY,House,Incumbent,C,H001067,Richard Hudson,412550.0,Republican,richard  hudson,https://ballotpedia.org/Richard_Hudson,reprichhudson,935033864,,,
2433,H2UT04080,"HUEY, NICHOLAS MICHAEL",UT,4,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,nicholas  huey,,,,,,
2435,H2NH01288,"HUFF BROWN, GAIL",NH,1,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,gail  brown,https://ballotpedia.org/Gail_Huff_Brown,gailhuffbrown,2295429423,,,
2437,H2FL19110,"HUFF, JIM",FL,19,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,jim  huff,https://ballotpedia.org/Jim_Huff_(Florida),jimhuff_,1529213716671209473,,,
2438,H2LA05274,"HUFF, WALTER EARL",LA,5,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,walter  huff,https://ballotpedia.org/Walter_Huff,,,,,
2439,H2NC12260,"HUFFMAN, ANDREW",NC,12,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,andrew  huffman,https://ballotpedia.org/Andrew_Huffman,,,,,
2440,H2NE01191,"HUFFMAN, CURTIS D",NE,1,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,curtis  huffman,https://ballotpedia.org/Curtis_Huffman,,,,,
2441,H2CA06259,"HUFFMAN, JARED",CA,2,DEMOCRATIC PARTY,House,Incumbent,C,H001068,Jared Huffman,412511.0,Democrat,jared  huffman,https://ballotpedia.org/Jared_Huffman,rephuffman,1071102246,,,
2442,H2CA06259,"HUFFMAN, JARED",CA,2,DEMOCRATIC PARTY,House,Incumbent,C,H001068,Jared Huffman,412511.0,Democrat,jared  huffman,https://ballotpedia.org/Jared_Huffman,jaredhuffman,334894942,,,
2444,H8NC08109,"HUFFMAN, SCOTT",NC,8,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,scott  huffman,https://ballotpedia.org/Scott_Huffman,huffmanfornc,941754604118831105,,,
2445,H2TN92014,"HUGHES, ANGELA M",TN,92,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,angela  hughes,,,,,,
2446,H0IL03133,"HUGHES, CHARLES M",IL,6,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,charles  hughes,https://ballotpedia.org/Charles_Hughes,,,,,
2447,H2AK01125,"HUGHES, DAVID M",AK,0,INDEPENDENT,House,Open seat,N,,,,Other,david  hughes,https://ballotpedia.org/David_Hughes,,,,,
2448,H0MI02094,"HUIZENGA, WILLIAM P",MI,4,REPUBLICAN PARTY,House,Incumbent,N,H001058,Bill Huizenga,412437.0,Republican,william  huizenga,https://ballotpedia.org/Bill_Huizenga,rephuizenga,233949261,,,
2449,H0MI02094,"HUIZENGA, WILLIAM P",MI,4,REPUBLICAN PARTY,House,Incumbent,N,H001058,Bill Huizenga,412437.0,Republican,william  huizenga,https://ballotpedia.org/Bill_Huizenga,billhuizenga,23820360,,,
2451,H2TX08133,"HULLIHAN, JONATHAN KEITH",TX,8,REPUBLICAN PARTY,House,Open seat,C,,,,Republican,jonathan  hullihan,https://ballotpedia.org/Jonathan_Hullihan,jhullihantx,1382392388555927553,,,
2452,H2CO08087,"HUMPHREY, JOHNNY",CO,8,DEMOCRATIC PARTY,House,Open seat,C,,,,Democrat,johnny  humphrey,,,,,,
2453,H2SC05102,"HUNDLEY, EVANGELINE",SC,5,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,evangeline  hundley,https://ballotpedia.org/Evangeline_Hundley,district5eva,1516486074910007296,,,
2455,H2UT04072,"HUNSAKER, JAKE",UT,4,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,jake  hunsaker,https://ballotpedia.org/Jake_Hunsaker,jakehunsaker,384918040,,,
2457,H2PA03129,"HUNT, ALEXANDRA",PA,3,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,alexandra  hunt,https://ballotpedia.org/Alexandra_Hunt,,,,,
2458,H2GA02189,"HUNT, JEREMY",GA,2,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,jeremy  hunt,https://ballotpedia.org/Jeremy_Hunt,thejeremyhunt,440497429,,,
2461,H2TX12085,"HUNT, TREY JOSEPH",TX,12,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,trey  hunt,https://ballotpedia.org/Trey_Hunt,votehunt2022,1330761111281561601,,,
2463,H0TX07170,"HUNT, WESLEY",TX,38,REPUBLICAN PARTY,House,Incumbent,C,H001095,,456946.0,Republican,wesley  hunt,https://ballotpedia.org/Wesley_Hunt_(Texas_Congress),wesleyhunttx,1112744620247662592,,,
2465,H2NY02115,"HUQ, MD MUZIBUL DR MD",NY,4,DEMOCRATIC PARTY,House,Challenger,P,,,,Democrat,md  huq,https://ballotpedia.org/Muzib_Huq,muzibuldr,1346194411915505666,,,
2466,H2WI03106,"HURLESS, DENISE LYNN RN",WI,3,REPUBLICAN PARTY,House,Open seat,N,,,,Republican,denise  hurless,,,,,,
2467,H8NV02129,"HURLEY, JESSE DOUGLAS",NV,2,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,jesse  hurley,,,,,,
2468,H2TX31176,"HUTSON, JASON WAYNE",TX,31,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,jason  hutson,,,,,,
2469,H2IL05209,"HUYNH, KHAI-HOAN DAC",IL,5,DEMOCRATIC PARTY,House,Challenger,C,,,,Democrat,khaihoan  huynh,,,,,,
2470,H2FL16108,"HYDE, MARTIN",FL,16,REPUBLICAN PARTY,House,Challenger,P,,,,Republican,martin  hyde,https://ballotpedia.org/Martin_Hyde,,,,,
2471,H2NJ03241,"HYLAND, SHAWN",NJ,3,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,shawn  hyland,,,,,,
2472,H2OR06082,"HYLLAND, BRIAN GENE JR",OR,6,DEMOCRATIC PARTY,House,Open seat,N,,,,Democrat,brian  hylland,,,,,,
2473,H2NV03211,"HYNES, RANDELL SCOTT",NV,3,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,randell  hynes,https://ballotpedia.org/Randell_Hynes,randellhynes,798646050,,,
2474,H2NV03211,"HYNES, RANDELL SCOTT",NV,3,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,randell  hynes,https://ballotpedia.org/Randell_Hynes,hynesfornevada,1375109222908694529,,,
2476,H8TX28039,"IDROGO, MICHAEL",TX,35,LIBERTARIAN PARTY,House,Challenger,N,,,,Other,michael  idrogo,https://ballotpedia.org/Michael_Idrogo,,,,,
2478,H0TX31097,"IMAM, DONNA",TX,37,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,donna  imam,https://ballotpedia.org/Donna_Imam,donnaimamtx,807323561924947968,,,
2479,H2CO07162,"IMER, LAUREL ANNE",CO,7,REPUBLICAN PARTY,House,Open seat,C,,,,Republican,laurel  imer,https://ballotpedia.org/Laurel_Imer,imerforcolorado,1284587105436545024,,,
2480,H2CO07162,"IMER, LAUREL ANNE",CO,7,REPUBLICAN PARTY,House,Open seat,C,,,,Republican,laurel  imer,https://ballotpedia.org/Laurel_Imer,notsewremi,3522198798,,,
2482,H2OH07191,"IMPELLIZZERI, JOHN ANTHONY",OH,7,DEMOCRATIC PARTY,House,Open seat,N,,,,Democrat,john  impellizzeri,,,,,,
2483,H2ME01156,"INMAN, HOLLIS CHARLES CHANDLER",ME,1,INDEPENDENT,House,Challenger,N,,,,Other,hollis  inman,,,,,,
2485,H2PA18218,"IRWIN, STEVEN",PA,12,DEMOCRATIC PARTY,House,Open seat,P,,,,Democrat,steven  irwin,https://ballotpedia.org/Steve_Irwin,steveirwinpa,23343961,,,
2487,H2MO04223,"IRWIN, WILLIAM",MO,4,REPUBLICAN PARTY,House,Open seat,C,,,,Republican,william  irwin,https://ballotpedia.org/William_Irwin_(Missouri),irwincongress,1462503985609424896,,,
2488,H2NJ07200,"ISEMANN, JOHN HENRY",NJ,7,REPUBLICAN PARTY,House,Challenger,C,,,,Republican,john  isemann,https://ballotpedia.org/John_Isemann,johnisemann3,1435230034952871942,,,
2490,H2WA09149,"ISHII, DAVID TADASHI",WA,9,DEMOCRATIC PARTY,House,Challenger,N,,,,Democrat,david  ish,,,,,,
2491,H0CA48024,"ISSA, DARRELL",CA,48,REPUBLICAN PARTY,House,Incumbent,C,I000056,Darrell Issa,400196.0,Republican,darrell  issa,https://ballotpedia.org/Darrell_Issa,darrellissa,22509548,,,
2492,H0CA48024,"ISSA, DARRELL",CA,48,REPUBLICAN PARTY,House,Incumbent,C,I000056,Darrell Issa,400196.0,Republican,darrell  issa,https://ballotpedia.org/Darrell_Issa,repdarrellissa,63650107,,,
2493,H2NY12239,"ITKIS, MIKHAIL",NY,12,INDEPENDENT,House,Challenger,C,,,,Other,mikhail  itkis,https://ballotpedia.org/Mikhail_Itkis,itkiscampaign,,No tweets found.,Name not found.,
2495,H2TX03316,"IVANOVSKIS, JEREMY DANIEL",TX,3,REPUBLICAN PARTY,House,Open seat,P,,,,Republican,jeremy  ivanovskis,https://ballotpedia.org/Jeremy_Ivanovskis,,,,,
2496,H2MD04315,"IVEY, GLENN",MD,4,DEMOCRATIC PARTY,House,Incumbent,C,I000058,,456905.0,Democrat,glenn  ivey,https://ballotpedia.org/Glenn_Ivey,repglennivey,1610111693836664834,,,
2498,H2MD04315,"IVEY, GLENN",MD,4,DEMOCRATIC PARTY,House,Incumbent,C,I000058,,456905.0,Democrat,glenn  ivey,https://ballotpedia.org/Glenn_Ivey,glenn_ivey,3081969927,,,
2499,H2GA04193,"IVY, SURREA MRS.",GA,4,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,surrea  ivy,https://ballotpedia.org/Surrea_Ivy,,,,,
2500,H2CA14204,"IYER, STEVE",CA,14,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,steve  iyer,https://ballotpedia.org/Steve_Iyer,iyer4congress,1487869681662763008,,,
2502,H2OR06025,"JACKSON, DERRY AL MR SR",OR,6,DEMOCRATIC PARTY,House,Open seat,N,,,,Democrat,derry  jackson,,,,,,
2503,H2AZ09134,"JACKSON, JANA JACKSON",AZ,9,REPUBLICAN PARTY,House,Challenger,N,,,,Republican,jana  jackson,,,,,,
2505,H2NC14076,"JACKSON, JEFF",NC,14,DEMOCRATIC PARTY,House,Incumbent,C,J000308,,456916.0,Democrat,jeff  jackson,https://ballotpedia.org/Jeff_Jackson,jeffjacksonnc,124820305,,,
2506,H2NC14076,"JACKSON, JEFF",NC,14,DEMOCRATIC PARTY,House,Incumbent,C,J000308,,456916.0,Democrat,jeff  jackson,https://ballotpedia.org/Jeff_Jackson,repjeffjackson,1611423475775770628,,,
