,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,ballotpedia,bioguide_id,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
3251,H6PA11073,"MARSICANO, MICHAEL",PA,8,REPUBLICAN PARTY,House,Challenger,P,Republican,michael  marsicano,https://ballotpedia.org/Mike_Marsicano,,,,,,
3252,H8IL16153,"MARTER, JAMES THOMAS",IL,14,REPUBLICAN PARTY,House,Challenger,P,Republican,james  marter,https://ballotpedia.org/James_Marter,,marter4congress,939203501783224320,,,
3255,H2MA01228,"MARTILLI, DEAN",MA,1,REPUBLICAN PARTY,House,Challenger,P,Republican,dean  martilli,https://ballotpedia.org/Dean_James_Martilli,,MartilliforRep,,No tweets found.,Name not found.,
3257,H2OK01176,"MARTIN, ADAM",OK,1,DEMOCRATIC PARTY,House,Challenger,P,Democrat,adam  martin,https://ballotpedia.org/Adam_Martin_(Oklahoma),,AdamMartin4OK,1440683446313971716,,,
3258,H2IL09136,"MARTIN, BRADLEY",IL,9,REPUBLICAN PARTY,House,Challenger,N,Republican,bradley  martin,,,,,,,
3259,H8AZ02201,"MARTIN, BRANDON RAY",AZ,2,REPUBLICAN PARTY,House,,N,Republican,brandon  martin,,,,,,,
3261,H8MO06092,"MARTIN, HENRY ROBERT",MO,6,DEMOCRATIC PARTY,House,Challenger,P,Democrat,henry  martin,https://ballotpedia.org/Henry_Martin,,hmforcongress,942052787059351555,,,
3263,H6FL11217,"MARTIN, JACK",FL,12,REPUBLICAN PARTY,House,Challenger,P,Republican,jack  martin,https://ballotpedia.org/Jack_Martin,,Jack4CongressFl,1474872738175201284,,,
3264,H2IL13203,"MARTIN, TERRY",IL,13,REPUBLICAN PARTY,House,Challenger,C,Republican,terry  martin,https://ballotpedia.org/Terry_Martin_(Illinois),,TerryMartin2022,1507377797093810179,,,
3267,H2TX38064,"MARTINEZ ALEXANDER, DIANA",TX,38,DEMOCRATIC PARTY,House,Open seat,P,Democrat,diana  alexander,https://ballotpedia.org/Diana_Martinez_Alexander,,dianafortexas,,No tweets found.,Name not found.,
3268,H2FL28020,"MARTINEZ GARIN, CARLOS A MR",FL,28,REPUBLICAN PARTY,House,Challenger,P,Republican,carlos  garin,https://ballotpedia.org/Carlos_Gimenez,,CarlosGimenezFL,1217185399166074885,,,
3269,H2FL28020,"MARTINEZ GARIN, CARLOS A MR",FL,28,REPUBLICAN PARTY,House,Challenger,P,Republican,carlos  garin,https://ballotpedia.org/Carlos_Gimenez,,RepCarlos,1343679195034103808,,,
3272,H2FL28020,"MARTINEZ GARIN, CARLOS A MR",FL,28,REPUBLICAN PARTY,House,Challenger,P,Republican,carlos  garin,https://ballotpedia.org/Carlos_Garin,,CarlosGarin,143850884,No tweets found.,,
3274,H2NM03173,"MARTINEZ JOHNSON, ALEXIS",NM,3,REPUBLICAN PARTY,House,Challenger,P,Republican,alexis  johnson,https://ballotpedia.org/Alexis_Martinez_Johnson,,alexisjohnsonnm,1163964650355953665,,,
3275,H2TX37017,"MARTINEZ, ANGEL DAVID",TX,37,DEMOCRATIC PARTY,House,Open seat,N,Democrat,angel  martinez,,,,,,,
3276,H2CA28162,"MARTINEZ, DANIEL JOSE BOCIC",CA,31,REPUBLICAN PARTY,House,Challenger,N,Republican,daniel  martinez,https://ballotpedia.org/Daniel_Bocic_Martinez,,,,,,
3277,H2CA13123,"MARTINEZ, DIEGO J",CA,13,REPUBLICAN PARTY,House,Challenger,N,Republican,diego  martinez,https://ballotpedia.org/Diego_Martinez_(California_congressional_candidate),,,,,,
3278,H2NM01268,"MARTINEZ, ELISA",NM,1,REPUBLICAN PARTY,House,Challenger,N,Republican,elisa  martinez,,,,,,,
3279,H2NY49025,"MARTINEZ, RAYMOND MR",NY,49,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,raymond  martinez,,,,,,,
3280,H2CO03252,"MARTINEZ, SUSAN LYNN",CO,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,susan  martinez,,,,,,,
3281,H2FL18088,"MARTZ, MELISSA",FL,21,REPUBLICAN PARTY,House,Challenger,C,Republican,melissa  martz,https://ballotpedia.org/Melissa_Martz,,martz4congress,,No tweets found.,Name not found.,
3283,H2WA09131,"MARX, KRYSTAL",WA,9,DEMOCRATIC PARTY,House,Challenger,P,Democrat,krystal  marx,,,,,,,
3284,H8CA49108,"MARYOTT, BRIAN L MR",CA,49,REPUBLICAN PARTY,House,Challenger,P,Republican,brian  maryott,https://ballotpedia.org/Brian_Maryott,,brianlmaryott,957475625236815872,,,
3285,H2TX30111,"MASON, JESSICA",TX,30,DEMOCRATIC PARTY,House,Challenger,P,Democrat,jessica  mason,https://ballotpedia.org/Jessica_Mason,,JessicaMasonTX,1344365440139714561,,,
3287,H0MD01232,"MASON, MIA",MD,1,DEMOCRATIC PARTY,House,Challenger,N,Democrat,mia  mason,,,,,,,
3288,H2KY04121,"MASSIE, THOMAS H.",KY,4,REPUBLICAN PARTY,House,Incumbent,C,Republican,thomas  massie,https://ballotpedia.org/Thomas_Massie,M001184,RepThomasMassie,975200486,,,
3289,H2KY04121,"MASSIE, THOMAS H.",KY,4,REPUBLICAN PARTY,House,Incumbent,C,Republican,thomas  massie,https://ballotpedia.org/Thomas_Massie,M001184,MassieforKY,1216059676372226049,,,
3290,H2KY04121,"MASSIE, THOMAS H.",KY,4,REPUBLICAN PARTY,House,Incumbent,C,Republican,thomas  massie,https://ballotpedia.org/Thomas_Massie,M001184,Thomas_Massie,55441686,,,
3292,H6FL18097,"MAST, BRIAN",FL,21,REPUBLICAN PARTY,House,Incumbent,C,Republican,brian  mast,https://ballotpedia.org/Brian_Mast,M001199,BrianMastFL,3170031728,,,
3293,H6FL18097,"MAST, BRIAN",FL,21,REPUBLICAN PARTY,House,Incumbent,C,Republican,brian  mast,https://ballotpedia.org/Brian_Mast,M001199,RepBrianMast,814103950404239360,,,
3296,H0CA47166,"MATHEWS, PETER",CA,42,DEMOCRATIC PARTY,House,Challenger,C,Democrat,peter  mathews,https://ballotpedia.org/Peter_Mathews,,epetermathews,828243871,No tweets found.,,
3297,H2IA01089,"MATHIS, ELIZABETH",IA,2,DEMOCRATIC PARTY,House,Challenger,P,Democrat,elizabeth  mathis,,,,,,,
3298,H2CA21183,"MATHYS, CHRIS",CA,21,REPUBLICAN PARTY,House,Challenger,P,Republican,chris  mathys,,,,,,,
3300,H2NY11157,"MATLAND, JOHN",NY,11,REPUBLICAN PARTY,House,Challenger,C,Republican,john  matland,https://ballotpedia.org/John_Matland,,WTPAreTheNews,705982544,,,
3301,H6CA05195,"MATSUI, DORIS",CA,7,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,doris  matsui,https://ballotpedia.org/Doris_Matsui,M001163,DorisMatsui,38254095,,,
3302,H6CA05195,"MATSUI, DORIS",CA,7,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,doris  matsui,https://ballotpedia.org/Doris_Matsui,M001163,Matsui4Congress,169331127,,,
3303,H2CA14147,"MATTAMMAL, GUS",CA,15,REPUBLICAN PARTY,House,Open seat,P,Republican,gus  mattammal,https://ballotpedia.org/Gus_Mattammal,,TheOneTrueGus,1436351469880369154,,,
3305,H0IL01210,"MATTHEWS, AMEENA",IL,1,DEMOCRATIC PARTY,House,Open seat,P,Democrat,ameena  matthews,https://ballotpedia.org/Ameena_Nuur_Matthews,,AmeenaMatthews,288973089,,,
3307,H2NY20109,"MATTHEWS, COLE FRANCIS MR.",NY,20,DEMOCRATIC PARTY,House,Challenger,N,Democrat,cole  matthews,,,,,,,
3309,H2WA02177,"MATTHEWS, DAN",WA,2,REPUBLICAN PARTY,House,Challenger,P,Republican,dan  matthews,https://ballotpedia.org/Dan_Matthews_(Washington),,dan2congress,1531861955035557888,No tweets found.,,
3310,H2OR04194,"MATTHEWS, JAKE",OR,4,DEMOCRATIC PARTY,House,Open seat,N,Democrat,jake  matthews,https://ballotpedia.org/Jake_Matthews,,,,,,
3312,H2PA06189,"MAURO, REGINA",PA,6,REPUBLICAN PARTY,House,Challenger,C,Republican,regina  mauro,https://ballotpedia.org/Regina_Mauro,,ReginaMMauro,2892800704,,,
3313,H2VA10224,"MAX, CALEB J MR",VA,10,REPUBLICAN PARTY,House,Challenger,P,Republican,caleb  max,https://ballotpedia.org/Caleb_Max,,,,,,
3315,H2AR04166,"MAXWELL, GREGORY",AR,4,LIBERTARIAN PARTY,House,Challenger,N,Other,gregory  maxwell,https://ballotpedia.org/Gregory_Maxwell,,GregoryMaxwell,40039456,No tweets found.,,
3316,H2NC12237,"MAXWELL, JOEL",NC,12,REPUBLICAN PARTY,House,Challenger,N,Republican,joel  maxwell,,,,,,,
3317,H6NH02154,"MAXWELL, MARY",NH,1,REPUBLICAN PARTY,House,Challenger,N,Republican,mary  maxwell,https://ballotpedia.org/Mary_Maxwell_(New_Hampshire),,,,,,
3318,H2MA06086,"MAY, ROBERT",MA,6,REPUBLICAN PARTY,House,Challenger,P,Republican,robert  may,https://ballotpedia.org/Robert_May_Jr._(Massachusetts),,may4congress,1519087409006362625,,,
3320,H2AZ06304,"MAYBERRY, YOUNG",AZ,6,REPUBLICAN PARTY,House,Challenger,P,Republican,young  mayberry,https://ballotpedia.org/Young_Mayberry,,,,,,
3321,H0DC01023,"MAYE, GREG",DC,0,DEMOCRATIC PARTY,House,Challenger,N,Democrat,greg  maye,,,,,,,
3322,H2NJ12127,"MAYFIELD, DARIUS",NJ,12,REPUBLICAN PARTY,House,Challenger,N,Republican,darius  mayfield,https://ballotpedia.org/Darius_Mayfield,,Darius4America,1350692890788450304,,,
3324,H2VA10281,"MAYHUGH, JEFFREY MICHAEL",VA,10,REPUBLICAN PARTY,House,Challenger,P,Republican,jeffrey  mayhugh,https://ballotpedia.org/Jeff_Mayhugh,,Jmayhugh28,276992728,,,
3326,H2WA03209,"MAYNARD, CHRISTOPHER",WA,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,christopher  maynard,,,,,,,
3327,H4MA01059,"MAYOCK, FREDERICK",MA,1,NONE,House,Challenger,N,Other,frederick  mayock,,,,,,,
3328,H2NJ11251,"MCANDREW, RUTH",NJ,11,REPUBLICAN PARTY,House,Challenger,N,Republican,ruth  mcandrew,https://ballotpedia.org/Ruth_McAndrew,,,,,,
3329,H8GA06393,"MCBATH, LUCIA KAY MS.",GA,7,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,lucia  mcbath,https://ballotpedia.org/Lucy_McBath,M001208,RepLucyMcBath,1082380458976051202,,,
3330,H8GA06393,"MCBATH, LUCIA KAY MS.",GA,7,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,lucia  mcbath,https://ballotpedia.org/Lucy_McBath,M001208,lucymcbath,947956236804337664,,,
3332,H2SC07272,"MCBRIDE, MARK STRUTHERS",SC,7,REPUBLICAN PARTY,House,Challenger,C,Republican,mark  mcbride,https://ballotpedia.org/Mark_McBride_(South_Carolina),,MarkMcBrideUS,1400464746722127892,,,
3334,H2AK00432,"MCCABE, ANNE M",AK,0,NONPARTISAN,House,Open seat,N,Other,anne  mccabe,https://ballotpedia.org/Anne_McCabe,,,,,,
3335,H2TX15112,"MCCAFFREY, FRANCIS TIMOTHY MR.",TX,34,REPUBLICAN PARTY,House,Challenger,C,Republican,francis  mccaffrey,https://ballotpedia.org/Francis_McCaffrey,,FrankCongress,409633688,,,
3337,H2MO08091,"MCCALLIAN, RANDI MCCALLIAN",MO,8,DEMOCRATIC PARTY,House,Challenger,N,Democrat,randi  mccallian,https://ballotpedia.org/Randi_McCallian,,RandiMcCallian,1099135037595766784,,,
3339,H2NY00085,"MCCARTHY, ANDREW KYLE",NY,24,REPUBLICAN PARTY,House,Challenger,P,Republican,andrew  mccarthy,,,,,,,
3340,H6CA22125,"MCCARTHY, KEVIN",CA,20,REPUBLICAN PARTY,House,Incumbent,C,Republican,kevin  mccarthy,https://ballotpedia.org/Kevin_McCarthy_(California),M001165,kevinomccarthy,15428227,,,
3341,H6CA22125,"MCCARTHY, KEVIN",CA,20,REPUBLICAN PARTY,House,Incumbent,C,Republican,kevin  mccarthy,https://ballotpedia.org/Kevin_McCarthy_(California),M001165,SpeakerMcCarthy,19739126,,,
3342,H2KS03166,"MCCAUGHREAN, JOHN",KS,3,REPUBLICAN PARTY,House,Challenger,C,Republican,john  mccaughrean,https://ballotpedia.org/John_McCaughrean,,JohnForKansas3,1533921385860452353,,,
3344,H4TX10093,"MCCAUL, MICHAEL",TX,10,REPUBLICAN PARTY,House,Incumbent,C,Republican,michael  mccaul,https://ballotpedia.org/Michael_McCaul,M001157,RepMcCaul,26424123,,,
3345,H4TX10093,"MCCAUL, MICHAEL",TX,10,REPUBLICAN PARTY,House,Incumbent,C,Republican,michael  mccaul,https://ballotpedia.org/Michael_McCaul,M001157,McCaulforTexas,743601590,,,
3346,H2MS01122,"MCCAY, JAMES MARION MR. JR.",MS,1,OTHER,House,Challenger,N,Other,james  mccay,,,,,,,
3347,H0MI10287,"MCCLAIN, LISA",MI,10,REPUBLICAN PARTY,House,Incumbent,C,Republican,lisa  mcclain,,M001136,RepLisaMcClain,1344032292432437248,,,
3350,H2MN01363,"MCCLELLAN, HAROUN",MN,1,OTHER,House,Open seat,N,Other,haroun  mcclellan,https://ballotpedia.org/Haroun_McClellan,,HarounMcclellan,1521290342917681152,,,
3351,H8CA04152,"MCCLINTOCK, THOMAS",CA,5,REPUBLICAN PARTY,House,Incumbent,C,Republican,thomas  mcclintock,https://ballotpedia.org/Tom_McClintock,,tommcclintock,15773898,,,
3352,H8CA04152,"MCCLINTOCK, THOMAS",CA,5,REPUBLICAN PARTY,House,Incumbent,C,Republican,thomas  mcclintock,https://ballotpedia.org/Tom_McClintock,,RepMcClintock,50152441,,,
3353,H6NY18161,"MCCLINTON, SAKIMA",NY,18,DEMOCRATIC PARTY,House,Challenger,N,Democrat,sakima  mcclinton,,,,,,,
3354,H0MN04049,"MCCOLLUM, BETTY",MN,4,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,betty  mccollum,https://ballotpedia.org/Betty_McCollum,M001143,VoteBetty,164414525,,,
3355,H0MN04049,"MCCOLLUM, BETTY",MN,4,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,betty  mccollum,https://ballotpedia.org/Betty_McCollum,M001143,BettyMcCollum04,516880804,,,
3356,H0CO04197,"MCCORKLE, ISAAC IAN",CO,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,isaac  mccorkle,https://ballotpedia.org/Ian_McCorkle,,IkeMcCorkle,1097923385445761027,,,
3357,H0CO04197,"MCCORKLE, ISAAC IAN",CO,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,isaac  mccorkle,https://ballotpedia.org/Ian_McCorkle,,ike4co,1160914592870150146,No tweets found.,,
3359,H2GA14051,"MCCORMACK, HOLLY",GA,14,DEMOCRATIC PARTY,House,Challenger,P,Democrat,holly  mccormack,https://ballotpedia.org/Holly_McCormack,,Holly_4Congress,,No tweets found.,Name not found.,
3361,H2NJ11236,"MCCORMICK, KEVIN",NJ,11,LIBERTARIAN PARTY,House,Challenger,N,Other,kevin  mccormick,,,,,,,
3362,H2IN08169,"MCCORMICK, RAY",IN,8,DEMOCRATIC PARTY,House,Challenger,P,Democrat,ray  mccormick,https://ballotpedia.org/Ray_McCormick,,,,,,
3364,H0GA07273,"MCCORMICK, RICHARD DEAN DR.",GA,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  mccormick,https://ballotpedia.org/Rich_McCormick,M001218,RichMcCormick_,1129885718728380419,,,
3365,H0GA07273,"MCCORMICK, RICHARD DEAN DR.",GA,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  mccormick,https://ballotpedia.org/Rich_McCormick,M001218,RichforGA,1136709465082945538,,,
3366,H0GA07273,"MCCORMICK, RICHARD DEAN DR.",GA,6,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  mccormick,https://ballotpedia.org/Rich_McCormick,M001218,RepMcCormick,1610689483929780225,,,
3367,H2GA07162,"MCCOY, LISA",GA,7,REPUBLICAN PARTY,House,Challenger,C,Republican,lisa  mccoy,https://ballotpedia.org/Lisa_McCoy,,,,,,
3368,H2TX01120,"MCDANIEL, JOSEPH STEWART II",TX,1,REPUBLICAN PARTY,House,Open seat,N,Republican,joseph  mcdaniel,https://ballotpedia.org/Joe_McDaniel,,joemcd2,1526225151762829312,No tweets found.,,
3370,H0IN01135,"MCDERMOTT, THOMAS",IN,1,DEMOCRATIC PARTY,House,Challenger,C,Democrat,thomas  mcdermott,,,,,,,
3372,H8UT04046,"MCDONALD, DARLENE",UT,4,DEMOCRATIC PARTY,House,Challenger,P,Democrat,darlene  mcdonald,https://ballotpedia.org/Darlene_McDonald,,VoteDarlene,,No tweets found.,Name not found.,
3373,H2NY44026,"MCDONALD, HUMPHREY MR",NY,44,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,humphrey  mcdonald,,,,,,,
3374,H2TX08315,"MCDONALD, REECE MASTER",TX,8,WRITE-IN,House,Open seat,N,Other,reece  mcdonald,,,,,,,
3375,H2TN08176,"MCDONALD, TIMOTHY BERNARD MR",TN,8,DEMOCRATIC PARTY,House,Challenger,N,Democrat,timothy  mcdonald,https://ballotpedia.org/Tim_McDonald,,,,,,
3376,H2KY04238,"MCDOWELL, ALYSSA DARA",KY,4,REPUBLICAN PARTY,House,Challenger,N,Republican,alyssa  mcdowell,https://ballotpedia.org/Alyssa_Dara_McDowell,,,,,,
3377,H6TX24149,"MCDOWELL, JAN",TX,24,DEMOCRATIC PARTY,House,Challenger,P,Democrat,jan  mcdowell,https://ballotpedia.org/Jan_McDowell,,JanForCongress,715271442401628160,,,
3380,H6VA04061,"MCEACHIN, ASTON DONALD",VA,4,DEMOCRATIC PARTY,House,Incumbent,P,Democrat,aston  mceachin,https://ballotpedia.org/Donald_McEachin,M001200,Donald_McEachin,459051498,,,
3381,H2UT02472,"MCFARLAND, JAY JAYMAC",UT,2,OTHER,House,Challenger,P,Other,jay  mcfarland,https://ballotpedia.org/Jay_Mcfarland,,JayMcfarland,26146427,,,
3383,H2OR06140,"MCFARLAND, LARRY D.",OR,6,CONSTITUTION PARTY,House,Challenger,N,Other,larry  mcfarland,https://ballotpedia.org/Larry_McFarland,,,,,,
3384,H2KY03206,"MCGARVEY, MORGAN",KY,3,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,morgan  mcgarvey,https://ballotpedia.org/Morgan_McGarvey,M001220,RepMcGarvey,1610300298303787008,,,
3385,H2KY03206,"MCGARVEY, MORGAN",KY,3,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,morgan  mcgarvey,https://ballotpedia.org/Morgan_McGarvey,M001220,MorganMcGarvey,389242668,,,
3386,H2MD04398,"MCGHEE, ROBERT K.",MD,4,DEMOCRATIC PARTY,House,Open seat,N,Democrat,robert  mcghee,,,,,,,
3387,H2IL05217,"MCGONIGAL, MALGORZATA",IL,5,REPUBLICAN PARTY,House,Challenger,P,Republican,malgorzata  mcgonigal,https://ballotpedia.org/Malgorzata_McGonigal,,McGonigal5th,1513552554432606208,,,
3389,H2CO02171,"MCGONIGAL, RYAN JAMES",CO,4,CONSTITUTION PARTY,House,Challenger,N,Other,ryan  mcgonigal,https://ballotpedia.org/Ryan_McGonigal,,ryan4congressco,,No tweets found.,Name not found.,
3391,H4MA03022,"MCGOVERN, JAMES P",MA,2,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,james  mcgovern,https://ballotpedia.org/Jim_McGovern_(Massachusetts),M000312,RepMcGovern,242426145,,,
3392,H4MA03022,"MCGOVERN, JAMES P",MA,2,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,james  mcgovern,https://ballotpedia.org/Jim_McGovern_(Massachusetts),M000312,McGovernMA,128664931,,,
3393,H2FL07206,"MCGOVERN, KEVIN JOHN",FL,15,REPUBLICAN PARTY,House,Open seat,P,Republican,kevin  mcgovern,https://ballotpedia.org/Kevin_McGovern,,McGovern4FL,1515111593364709378,,,
3395,H2IL17162,"MCGOWAN, JACQUELINE MARIE",IL,17,DEMOCRATIC PARTY,House,Open seat,P,Democrat,jacqueline  mcgowan,https://ballotpedia.org/Jacqueline_McGowan,,jackieforcongr1,1522285920610889728,,,
3398,H2WI03148,"MCGRATH, DEB",WI,3,DEMOCRATIC PARTY,House,Open seat,C,Democrat,deb  mcgrath,https://ballotpedia.org/Deb_McGrath,,DebMcGrathWI,,No tweets found.,Name not found.,
3399,H2VA07196,"MCGUIRE, JOHN",VA,7,REPUBLICAN PARTY,House,Challenger,C,Republican,john  mcguire,,,,,,,
3400,H4NC10047,"MCHENRY, PATRICK TIMOTHY",NC,10,REPUBLICAN PARTY,House,Incumbent,C,Republican,patrick  mchenry,https://ballotpedia.org/Patrick_McHenry,M001156,McHenryCampaign,481437062,,,
3401,H4NC10047,"MCHENRY, PATRICK TIMOTHY",NC,10,REPUBLICAN PARTY,House,Incumbent,C,Republican,patrick  mchenry,https://ballotpedia.org/Patrick_McHenry,M001156,PatrickMcHenry,27676828,,,
3402,H2MI13345,"MCINTOSH, ANGELA E MS",MI,13,DEMOCRATIC PARTY,House,Challenger,N,Democrat,angela  mcintosh,,,,,,,
3403,H2TX08224,"MCKAUGHAN, DANIEL CREGG",TX,8,REPUBLICAN PARTY,House,Open seat,P,Republican,daniel  mckaughan,https://ballotpedia.org/Dan_McKaughan,,DanMcKaughanTX,1417848895976128513,,,
3405,H2OH15111,"MCKENZIE, ELIZABETH GRACE MS",OH,15,UNAFFILIATED,House,Challenger,N,Other,elizabeth  mckenzie,,,,,,,
3406,H2MT01128,"MCKIBBEN, ALLEN HARLEY II",MT,1,REPUBLICAN PARTY,House,Challenger,N,Republican,allen  mckibben,,,,,,,
3407,H2NC14068,"MCKIM, KEN",NC,14,REPUBLICAN PARTY,House,Open seat,P,Republican,ken  mckim,,,,,,,
3408,H0WV01072,"MCKINLEY, DAVID B. MR.",WV,2,REPUBLICAN PARTY,House,Incumbent,P,Republican,david  mckinley,https://ballotpedia.org/David_McKinley,M001180,McKinleyforWV,2493604807,,,
3409,H0WV01072,"MCKINLEY, DAVID B. MR.",WV,2,REPUBLICAN PARTY,House,Incumbent,P,Republican,david  mckinley,https://ballotpedia.org/David_McKinley,M001180,RepMcKinley,240427862,,,
3410,H2FL18120,"MCKINNEY, JAVITA",FL,18,REPUBLICAN PARTY,House,Challenger,N,Republican,javita  mckinney,,,,,,,
3411,H2TN05297,"MCKNIGHT, QUINCY",TN,5,REPUBLICAN PARTY,House,Open seat,C,Republican,quincy  mcknight,,,,,,,
3413,H2FL21173,"MCLAUGHLIN, CHRISTY",FL,23,REPUBLICAN PARTY,House,Challenger,P,Republican,christy  mclaughlin,https://ballotpedia.org/Christy_McLaughlin,,ChristyMarieMc,906661679479578625,,,
3414,H2VA05109,"MCLELLAN, THOMAS WARREN",VA,5,DEMOCRATIC PARTY,House,Challenger,C,Democrat,thomas  mclellan,,,,,,,
3415,H6LA03189,"MCLENDON, GUY",LA,3,LIBERTARIAN PARTY,House,Challenger,N,Other,guy  mclendon,https://ballotpedia.org/Guy_McLendon,,,,,,
3416,H2GA07147,"MCLEOD, DONNA THERESA MS.",GA,7,DEMOCRATIC PARTY,House,Challenger,C,Democrat,donna  mcleod,https://ballotpedia.org/Donna_McLeod,,,,,,
3417,H8OR02161,"MCLEOD-SKINNER, JAMIE",OR,5,DEMOCRATIC PARTY,House,Challenger,P,Democrat,jamie  mcleodskinner,https://ballotpedia.org/Jamie_McLeod-Skinner,,jamiefororegon,878119205291180032,No tweets found.,,
3419,H2GA10158,"MCMAIN, MARC",GA,10,REPUBLICAN PARTY,House,Open seat,C,Republican,marc  mcmain,https://ballotpedia.org/Marc_McMain,,,,,,
3420,H4WA05077,"MCMORRIS RODGERS, CATHY",WA,5,REPUBLICAN PARTY,House,Incumbent,C,Republican,cathy  rodgers,https://ballotpedia.org/Cathy_McMorris_Rodgers,M001159,cathymcmorris,17976923,,,
3421,H4WA05077,"MCMORRIS RODGERS, CATHY",WA,5,REPUBLICAN PARTY,House,Incumbent,C,Republican,cathy  rodgers,https://ballotpedia.org/Cathy_McMorris_Rodgers,M001159,teamcmr,130733698,No tweets found.,,
3422,H4WA05077,"MCMORRIS RODGERS, CATHY",WA,5,REPUBLICAN PARTY,House,Incumbent,C,Republican,cathy  rodgers,https://ballotpedia.org/Cathy_McMorris_Rodgers,M001159,TeamCMR,130733698,,,
3423,H2MD03234,"MCNEAL, WAYNE",MD,7,DEMOCRATIC PARTY,House,Challenger,N,Democrat,wayne  mcneal,https://ballotpedia.org/Wayne_McNeal,,,,,,
3424,H2IL17188,"MCNEELY, LINDA",IL,17,DEMOCRATIC PARTY,House,Open seat,N,Democrat,linda  mcneely,,,,,,,
3425,H4CA11081,"MCNERNEY, JERRY",CA,9,DEMOCRATIC PARTY,House,Incumbent,P,Democrat,jerry  mcnerney,,M001166,RepMcNerney,385429543,,,
3428,H2MD02350,"MCNULTY, ELLEN EJ",MD,2,REPUBLICAN PARTY,House,Challenger,P,Republican,ellen  mcnulty,https://ballotpedia.org/Ellen_McNulty,,EJ4CONGRESS,1534308245703168007,No tweets found.,,
3430,H2DE00163,"MCNUTT, CODY",DE,0,LIBERTARIAN PARTY,House,Challenger,N,Other,cody  mcnutt,https://ballotpedia.org/Cody_McNutt,,codyrmcnutt,1462972031180279811,No tweets found.,,
3431,H2MI13329,"MCPHAIL, SHARON",MI,13,DEMOCRATIC PARTY,House,Challenger,C,Democrat,sharon  mcphail,https://ballotpedia.org/Sharon_McPhail,,,,,,
3432,H2FL01266,"MCPHILLIPS, WILLIAM J MR II",FL,1,REPUBLICAN PARTY,House,Challenger,N,Republican,william  mcphillips,,,,,,,
3433,H0TX20124,"MCQUEEN, ELDON DAN",TX,35,REPUBLICAN PARTY,House,Challenger,N,Republican,eldon  mcqueen,,,,,,,
3434,H2OH03174,"MEADE, MATTHEW ALLEN",OH,3,DEMOCRATIC PARTY,House,Challenger,P,Democrat,matthew  meade,,,,,,,
3435,H2OH02127,"MEADOWS, SAMANTHA",OH,2,DEMOCRATIC PARTY,House,Challenger,P,Democrat,samantha  meadows,https://ballotpedia.org/Samantha_Meadows,,SMeadows4OH2,1488999236737941510,,,
3437,H2CA21225,"MEDEIROS, ADAM THOMAS MR",CA,21,REPUBLICAN PARTY,House,Challenger,P,Republican,adam  medeiros,,,,,,,
3438,H2FL25075,"MEDINA, IAN ANTHONY",FL,25,DEMOCRATIC PARTY,House,Challenger,N,Democrat,ian  medina,,,,,,,
3439,H2FL27048,"MEDINA, IAN ANTHONY",FL,27,NO PARTY AFFILIATION,House,Challenger,N,Other,ian  medina,,,,,,,
3440,H2GA05158,"MEDINA, IAN ANTHONY",GA,5,DEMOCRATIC PARTY,House,Challenger,N,Democrat,ian  medina,,,,,,,
3441,H2NY10118,"MEDINA, IAN ANTHONY",NY,10,DEMOCRATIC PARTY,House,Challenger,N,Democrat,ian  medina,,,,,,,
3442,H8NY06048,"MEEKS, GREGORY W.",NY,5,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,gregory  meeks,https://ballotpedia.org/Gregory_Meeks,M001137,GregMeeksNYC,1092782048157331456,,,
3443,H8NY06048,"MEEKS, GREGORY W.",NY,5,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,gregory  meeks,https://ballotpedia.org/Gregory_Meeks,M001137,repgregorymeeks,22812754,No tweets found.,,
3444,H8NY06048,"MEEKS, GREGORY W.",NY,5,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,gregory  meeks,https://ballotpedia.org/Gregory_Meeks,M001137,RepGregoryMeeks,22812754,,,
